"","dap","h","Me","predicoes.rf"
"1",6.4,7,1.04,11.5642473333333
"2",7.3,10,1.04,17.8035006666667
"3",7.8,5.5,1.04,14.9628793333333
"4",12.2,7.5,1.04,47.1791553333333
